Model ID,Region ID,Time Start,Time End,Requests,Input Tokens,Output Tokens,Total Tokens
Z.ai GLM 4.7,us-west-1,2026-03-03T19:32:00.000Z,2026-03-03T19:33:00.000Z,6,58288,658,58946
Z.ai GLM 4.7,us-west-1,2026-03-03T19:33:00.000Z,2026-03-03T19:34:00.000Z,2,34949,191,35140
Z.ai GLM 4.7,us-west-1,2026-03-03T19:34:00.000Z,2026-03-03T19:35:00.000Z,10,165916,3907,169823
Z.ai GLM 4.7,us-west-1,2026-03-03T19:35:00.000Z,2026-03-03T19:36:00.000Z,18,1330689,15510,1346199
Z.ai GLM 4.7,us-west-1,2026-03-03T19:36:00.000Z,2026-03-03T19:37:00.000Z,2,199580,292,199872
Z.ai GLM 4.7,us-west-1,2026-03-03T19:37:00.000Z,2026-03-03T19:38:00.000Z,4,412799,1518,414317
Z.ai GLM 4.7,us-west-1,2026-03-03T19:38:00.000Z,2026-03-03T19:39:00.000Z,3,324416,734,325150
Z.ai GLM 4.7,us-west-1,2026-03-03T19:39:00.000Z,2026-03-03T19:40:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T19:51:00.000Z,2026-03-03T19:52:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T19:52:00.000Z,2026-03-03T19:53:00.000Z,4,24584,461,25045
Z.ai GLM 4.7,us-west-1,2026-03-03T19:53:00.000Z,2026-03-03T19:54:00.000Z,7,122134,899,123033
Z.ai GLM 4.7,us-west-1,2026-03-03T19:54:00.000Z,2026-03-03T19:55:00.000Z,3,85179,691,85870
Z.ai GLM 4.7,us-west-1,2026-03-03T19:55:00.000Z,2026-03-03T19:56:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T20:06:00.000Z,2026-03-03T20:07:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T20:07:00.000Z,2026-03-03T20:08:00.000Z,2,26837,373,27210
Z.ai GLM 4.7,us-west-1,2026-03-03T20:08:00.000Z,2026-03-03T20:09:00.000Z,2,29365,475,29840
Z.ai GLM 4.7,us-west-1,2026-03-03T20:09:00.000Z,2026-03-03T20:10:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T20:10:00.000Z,2026-03-03T20:11:00.000Z,14,342727,2000,344727
Z.ai GLM 4.7,us-west-1,2026-03-03T20:11:00.000Z,2026-03-03T20:12:00.000Z,2,58778,717,59495
Z.ai GLM 4.7,us-west-1,2026-03-03T20:12:00.000Z,2026-03-03T20:13:00.000Z,2,60438,2557,62995
Z.ai GLM 4.7,us-west-1,2026-03-03T20:13:00.000Z,2026-03-03T20:14:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T20:52:00.000Z,2026-03-03T20:53:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T20:53:00.000Z,2026-03-03T20:54:00.000Z,2,63146,256,63402
Z.ai GLM 4.7,us-west-1,2026-03-03T20:54:00.000Z,2026-03-03T20:55:00.000Z,2,70465,7769,78234
Z.ai GLM 4.7,us-west-1,2026-03-03T20:55:00.000Z,2026-03-03T20:56:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T21:02:00.000Z,2026-03-03T21:03:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T21:03:00.000Z,2026-03-03T21:04:00.000Z,5,216827,611,217438
Z.ai GLM 4.7,us-west-1,2026-03-03T21:04:00.000Z,2026-03-03T21:05:00.000Z,9,419731,3932,423663
Z.ai GLM 4.7,us-west-1,2026-03-03T21:05:00.000Z,2026-03-03T21:06:00.000Z,29,610028,6013,616041
Z.ai GLM 4.7,us-west-1,2026-03-03T21:06:00.000Z,2026-03-03T21:07:00.000Z,10,326627,3839,330466
Z.ai GLM 4.7,us-west-1,2026-03-03T21:07:00.000Z,2026-03-03T21:08:00.000Z,6,235432,2332,237764
Z.ai GLM 4.7,us-west-1,2026-03-03T21:08:00.000Z,2026-03-03T21:09:00.000Z,6,44725,3939,48664
Z.ai GLM 4.7,us-west-1,2026-03-03T21:09:00.000Z,2026-03-03T21:10:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T21:11:00.000Z,2026-03-03T21:12:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-03-03T21:12:00.000Z,2026-03-03T21:13:00.000Z,6,99072,11872,110944
Z.ai GLM 4.7,us-west-1,2026-03-03T21:13:00.000Z,2026-03-03T21:14:00.000Z,3,78403,4860,83263
Z.ai GLM 4.7,us-west-1,2026-03-03T21:14:00.000Z,2026-03-03T21:15:00.000Z,1,29286,3355,32641
